,encontrado,qtd_comparacoes,id_localizado,n_buscado,vetor,salto,tempo
31,True,10,9,605,"[4, 15, 50, 98, 117, 347, 489, 519, 594, 605, 641, 659, 684, 705, 716, 734, 833, 864, 927, 928, 934, 989]",12,0.01263427734375
32,True,10,9,605,"[4, 15, 50, 98, 117, 347, 489, 519, 594, 605, 641, 659, 684, 705, 716, 734, 833, 864, 927, 928, 934, 989]",13,0.01349020004272461
33,True,10,9,605,"[4, 15, 50, 98, 117, 347, 489, 519, 594, 605, 641, 659, 684, 705, 716, 734, 833, 864, 927, 928, 934, 989]",14,0.014277219772338867
34,True,10,9,605,"[4, 15, 50, 98, 117, 347, 489, 519, 594, 605, 641, 659, 684, 705, 716, 734, 833, 864, 927, 928, 934, 989]",15,0.015723228454589844
35,True,10,9,605,"[4, 15, 50, 98, 117, 347, 489, 519, 594, 605, 641, 659, 684, 705, 716, 734, 833, 864, 927, 928, 934, 989]",16,0.017322063446044922
36,True,10,9,605,"[4, 15, 50, 98, 117, 347, 489, 519, 594, 605, 641, 659, 684, 705, 716, 734, 833, 864, 927, 928, 934, 989]",17,0.018407344818115234
37,True,10,9,605,"[4, 15, 50, 98, 117, 347, 489, 519, 594, 605, 641, 659, 684, 705, 716, 734, 833, 864, 927, 928, 934, 989]",18,0.019335269927978516
38,True,10,9,605,"[4, 15, 50, 98, 117, 347, 489, 519, 594, 605, 641, 659, 684, 705, 716, 734, 833, 864, 927, 928, 934, 989]",19,0.020264387130737305
39,True,10,9,605,"[4, 15, 50, 98, 117, 347, 489, 519, 594, 605, 641, 659, 684, 705, 716, 734, 833, 864, 927, 928, 934, 989]",20,0.02101922035217285
40,True,10,9,605,"[4, 15, 50, 98, 117, 347, 489, 519, 594, 605, 641, 659, 684, 705, 716, 734, 833, 864, 927, 928, 934, 989]",21,0.021737337112426758
41,True,15,14,593,"[10, 133, 147, 161, 166, 188, 238, 247, 282, 336, 338, 400, 466, 553, 593, 627, 658, 698, 738, 795, 893, 902, 977]",1,0.0002760887145996094
42,True,9,14,593,"[10, 133, 147, 161, 166, 188, 238, 247, 282, 336, 338, 400, 466, 553, 593, 627, 658, 698, 738, 795, 893, 902, 977]",2,0.0012731552124023438
